ENS_MOUSE	GC	LENGTH
ENSMUSG00000028644	46.32	15443
ENSMUSG00000007682	42.09	5811
ENSMUSG00000016179	49.61	6687
ENSMUSG00000087263	43.52	506
ENSMUSG00000031004	43.17	10061
ENSMUSG00000001930	48.13	37921
ENSMUSG00000022812	40.66	12916
ENSMUSG00000090539	41.92	2668
ENSMUSG00000094152	50.93	1997
ENSMUSG00000042485	54.25	1174
ENSMUSG00000061848	55.92	455
ENSMUSG00000058806	50.97	12420
ENSMUSG00000047347	48.11	2967
ENSMUSG00000040412	45.48	16756
ENSMUSG00000058613	48.47	2505
ENSMUSG00000071356	41.71	753
ENSMUSG00000054612	45.89	813
ENSMUSG00000003534	53	27206
ENSMUSG00000040447	52.54	8200
ENSMUSG00000079554	45.23	4740
ENSMUSG00000090964	52.75	574
ENSMUSG00000033016	50.91	16182
ENSMUSG00000066357	56.2	4086
ENSMUSG00000075511	45.49	5254
ENSMUSG00000068341	41.44	776
ENSMUSG00000070568	51.17	8890
ENSMUSG00000032125	49.67	15304
ENSMUSG00000063077	42.88	36023
ENSMUSG00000040663	56.27	7909
ENSMUSG00000033707	51.52	2819
ENSMUSG00000059013	51.65	8763
ENSMUSG00000051674	45.34	14908
ENSMUSG00000006675	50.4	1801
ENSMUSG00000024854	54.36	906
ENSMUSG00000091494	42.03	2367
ENSMUSG00000061533	40.62	21216
ENSMUSG00000034459	42.91	2654
ENSMUSG00000079516	42.73	831
ENSMUSG00000087441	44.73	554
ENSMUSG00000041552	37.79	5254
ENSMUSG00000087356	44.88	1737
ENSMUSG00000087613	44.74	742
ENSMUSG00000067719	45.5	421
ENSMUSG00000009378	40.91	4044
ENSMUSG00000086762	46.43	1645
ENSMUSG00000094132	43.25	1390
ENSMUSG00000010476	47.54	8918
ENSMUSG00000028643	49.32	2239
ENSMUSG00000079002	60.34	1755
ENSMUSG00000034616	54.5	5435
ENSMUSG00000038260	50.87	4220
ENSMUSG00000023140	38.12	686
ENSMUSG00000064145	43.24	3908
ENSMUSG00000051223	42.47	2821
ENSMUSG00000086269	47.23	2910
ENSMUSG00000020798	49.34	7876
ENSMUSG00000020186	45.2	967
ENSMUSG00000038181	56.72	9086
ENSMUSG00000006345	50.78	17269
ENSMUSG00000091185	42.01	1495
ENSMUSG00000097939	46.86	908
ENSMUSG00000033610	43.73	6205
ENSMUSG00000089994	44.37	2631
ENSMUSG00000078584	47.87	11917
ENSMUSG00000094340	51.83	871
ENSMUSG00000081991	45.56	1420
ENSMUSG00000091552	51.93	877
ENSMUSG00000027160	39.73	11534
ENSMUSG00000096408	51.83	871
ENSMUSG00000024566	41.03	5368
ENSMUSG00000019836	43.57	2002
ENSMUSG00000098139	42.86	944
ENSMUSG00000090638	49.65	702
ENSMUSG00000026640	44.03	18726
ENSMUSG00000074075	52.7	2113
ENSMUSG00000021922	52.78	12761
ENSMUSG00000081050	48.83	1238
ENSMUSG00000098173	44.98	995
ENSMUSG00000009731	47.78	6030
ENSMUSG00000075706	53.84	4709
ENSMUSG00000089855	51.57	158
ENSMUSG00000032602	46.11	1774
ENSMUSG00000084399	50.97	770
ENSMUSG00000038239	55.13	2404
ENSMUSG00000033697	47.81	16769
ENSMUSG00000089904	54.35	183
ENSMUSG00000024309	55.15	3503
ENSMUSG00000087132	51.65	4219
ENSMUSG00000028642	48.76	1445
ENSMUSG00000059654	41.02	763
ENSMUSG00000067274	49.89	3488
ENSMUSG00000005986	49.24	7569
ENSMUSG00000085282	42.32	3596
ENSMUSG00000040139	44.1	12152
ENSMUSG00000000305	49.53	9119
ENSMUSG00000086695	55.75	401
ENSMUSG00000056877	45.8	392
ENSMUSG00000096661	33.6	190
ENSMUSG00000090162	44.49	806
ENSMUSG00000095913	50.57	659
ENSMUSG00000089667	40.45	308
ENSMUSG00000027822	39.15	7662
ENSMUSG00000051133	53.33	194
ENSMUSG00000089934	38.89	485
ENSMUSG00000084865	39.96	598
ENSMUSG00000090827	42.16	3360
ENSMUSG00000020164	47.55	822
ENSMUSG00000032601	43.03	4030
ENSMUSG00000031310	51.03	38773
ENSMUSG00000040681	46.23	3884
ENSMUSG00000047866	42.05	12675
ENSMUSG00000085837	60.13	4341
ENSMUSG00000031068	44.26	1640
ENSMUSG00000030017	42.13	2852
ENSMUSG00000027048	40.27	15441
ENSMUSG00000026034	40.91	17052
ENSMUSG00000085515	37.97	3384
ENSMUSG00000024795	38.24	5531
ENSMUSG00000082963	42.33	299
ENSMUSG00000083539	52.58	619
ENSMUSG00000082267	35.97	744
ENSMUSG00000089766	56.2	440
ENSMUSG00000074518	53.5	67
ENSMUSG00000083338	47.23	1388
ENSMUSG00000040610	65.14	1529
ENSMUSG00000028949	55.47	9132
ENSMUSG00000092341	42.49	9327
ENSMUSG00000031565	49.44	32517
ENSMUSG00000079383	43.98	1122
ENSMUSG00000091002	45.8	5807
ENSMUSG00000032599	45.16	1836
ENSMUSG00000090808	39.62	602
ENSMUSG00000096197	42.1	2060
ENSMUSG00000092267	40.08	423
ENSMUSG00000024565	47.06	6882
ENSMUSG00000003863	51.64	21088
ENSMUSG00000092274	47.27	24798
ENSMUSG00000049796	52.56	1318
ENSMUSG00000055109	37.25	1408
ENSMUSG00000027823	38.08	11505
ENSMUSG00000025572	54.87	10169
ENSMUSG00000024553	46.16	2868
ENSMUSG00000048106	58.12	1076
ENSMUSG00000075395	38.72	3720
ENSMUSG00000095681	43.03	2553
ENSMUSG00000039117	48.99	8639
ENSMUSG00000001016	42.2	1959
ENSMUSG00000096887	36.53	333
ENSMUSG00000023147	50.1	5247
ENSMUSG00000021540	43.48	19008
ENSMUSG00000017316	54.1	979
ENSMUSG00000081196	44.43	668
ENSMUSG00000032598	54.35	2857
ENSMUSG00000084965	42.48	3751
ENSMUSG00000037813	51.22	11843
ENSMUSG00000043488	53.26	466
ENSMUSG00000028641	51.52	20585
ENSMUSG00000094281	50.76	131
ENSMUSG00000041775	47.17	4728
ENSMUSG00000085187	43.09	449
ENSMUSG00000085382	44.43	493
ENSMUSG00000020794	38.39	5939
ENSMUSG00000032128	50.74	20439
ENSMUSG00000009551	50.07	1846
ENSMUSG00000036840	42.45	2105
ENSMUSG00000052581	37.47	21047
ENSMUSG00000074178	70.39	904
ENSMUSG00000022809	46.02	2544
ENSMUSG00000027472	50.37	5454
ENSMUSG00000041268	40.42	41718
ENSMUSG00000083458	56.17	485
ENSMUSG00000040594	40.15	13551
ENSMUSG00000005823	49.42	2078
ENSMUSG00000035798	40.9	5667
ENSMUSG00000031652	46.28	6462
ENSMUSG00000016494	41.06	3969
ENSMUSG00000092074	47.29	737
ENSMUSG00000041769	44	11532
ENSMUSG00000057457	39.4	12016
ENSMUSG00000096255	46.86	763
ENSMUSG00000005299	46.98	11269
ENSMUSG00000049148	38.68	6057
ENSMUSG00000079378	42.04	3356
ENSMUSG00000031654	56.51	4026
ENSMUSG00000096780	54.44	839
ENSMUSG00000045275	46.85	10916
ENSMUSG00000026035	43.74	4922
ENSMUSG00000079733	49.26	641
ENSMUSG00000015488	50.58	9470
ENSMUSG00000003872	57.07	2529
ENSMUSG00000000579	47.56	6993
ENSMUSG00000027318	54.7	22242
ENSMUSG00000041660	38.19	4863
ENSMUSG00000069971	44.7	1298
ENSMUSG00000091086	51.91	887
ENSMUSG00000024312	53.36	3342
ENSMUSG00000085196	50.22	2556
ENSMUSG00000039108	51.54	5810
ENSMUSG00000090667	40.25	822
ENSMUSG00000023473	54.35	11506
ENSMUSG00000078566	44.38	3585
ENSMUSG00000093880	52.15	1310
ENSMUSG00000017311	57.39	1997
ENSMUSG00000095912	43.63	515
ENSMUSG00000063511	47.19	1666
ENSMUSG00000003617	39.46	32262
ENSMUSG00000022676	42.41	2028
ENSMUSG00000039021	53.56	19048
ENSMUSG00000021541	47.58	14910
ENSMUSG00000085763	39.5	624
ENSMUSG00000079380	42.22	1464
ENSMUSG00000022181	39.1	10161
ENSMUSG00000084380	50	257
ENSMUSG00000068617	38.32	2488
ENSMUSG00000094929	42.79	1745
ENSMUSG00000089736	55.45	2507
ENSMUSG00000070984	38.53	1184
ENSMUSG00000020189	40.92	7370
ENSMUSG00000041607	49.25	24964
ENSMUSG00000066058	54.26	5083
ENSMUSG00000081975	46.83	629
ENSMUSG00000031154	45.56	19603
ENSMUSG00000067206	44.64	3543
ENSMUSG00000096023	41.88	2058
ENSMUSG00000083937	46.19	1788
ENSMUSG00000094276	33.6	190
ENSMUSG00000021265	54.68	3203
ENSMUSG00000082216	44.75	1802
ENSMUSG00000096003	43.01	2553
ENSMUSG00000048217	58.56	6434
ENSMUSG00000087192	42.96	1891
ENSMUSG00000011837	55.74	1508
ENSMUSG00000094472	38.13	1499
ENSMUSG00000086834	42.89	367
ENSMUSG00000038201	54.6	3492
ENSMUSG00000082920	55.16	784
ENSMUSG00000020790	42.38	22705
ENSMUSG00000056856	48.52	8687
ENSMUSG00000082118	50.25	196
ENSMUSG00000048644	61.28	1222
ENSMUSG00000023259	54.42	2381
ENSMUSG00000086947	42.01	444
ENSMUSG00000049414	54.05	382
ENSMUSG00000094825	42.01	2581
ENSMUSG00000074121	57.66	1959
ENSMUSG00000081925	48.37	336
ENSMUSG00000082446	46.84	600
ENSMUSG00000022674	38.89	6929
ENSMUSG00000019487	51.7	2276
ENSMUSG00000097954	53.99	1001
ENSMUSG00000074971	44.76	2068
ENSMUSG00000038194	57.17	6105
ENSMUSG00000089680	52.5	659
ENSMUSG00000027886	45.26	1876
ENSMUSG00000046442	43.17	7199
ENSMUSG00000086424	58.32	591
ENSMUSG00000016493	38.73	7722
ENSMUSG00000025652	57.04	536
ENSMUSG00000045333	49.76	15915
ENSMUSG00000048856	55.84	1573
ENSMUSG00000028954	47.79	3440
ENSMUSG00000095797	42.19	2362
ENSMUSG00000028639	43.23	5447
ENSMUSG00000026036	43.81	8876
ENSMUSG00000093394	55.67	2443
ENSMUSG00000002949	48.06	11253
ENSMUSG00000035759	44.96	2751
ENSMUSG00000036067	55.82	10052
ENSMUSG00000073155	45.1	4433
ENSMUSG00000025651	48.76	1642
ENSMUSG00000039678	51.27	7006
ENSMUSG00000071708	41.66	9248
ENSMUSG00000021615	37.41	5694
ENSMUSG00000041638	52.61	30916
ENSMUSG00000029156	44.88	3703
ENSMUSG00000055235	51.46	7075
ENSMUSG00000003868	54.15	4858
ENSMUSG00000058799	41.35	5415
ENSMUSG00000041644	37.26	10738
ENSMUSG00000022155	41.25	5190
ENSMUSG00000025478	53.57	14760
ENSMUSG00000033352	39.91	7895
ENSMUSG00000058440	43.21	35955
ENSMUSG00000036810	41.49	8423
ENSMUSG00000016481	36.14	1651
ENSMUSG00000086712	47.18	1221
ENSMUSG00000001018	45.35	7793
ENSMUSG00000073154	38.61	12485
ENSMUSG00000083735	46.98	446
ENSMUSG00000086267	45.03	666
ENSMUSG00000079467	45.62	1161
ENSMUSG00000084970	44.55	1058
ENSMUSG00000081516	49.67	1048
ENSMUSG00000029155	43.39	5469
ENSMUSG00000033799	38.07	8317
ENSMUSG00000084403	45.99	386
ENSMUSG00000024858	55.01	14634
ENSMUSG00000084876	51.45	1527
ENSMUSG00000006344	47.54	4125
ENSMUSG00000052188	59.19	1231
ENSMUSG00000021266	48.88	12489
ENSMUSG00000029442	47.57	19571
ENSMUSG00000042631	50.76	2708
ENSMUSG00000057531	43.68	2596
ENSMUSG00000090113	55.33	2737
ENSMUSG00000027068	40.99	4276
ENSMUSG00000020674	46.96	15318
ENSMUSG00000026037	41.81	5642
ENSMUSG00000023013	55.21	1412
ENSMUSG00000007646	41.94	8539
ENSMUSG00000097652	52.89	823
ENSMUSG00000027474	51.28	5455
ENSMUSG00000026616	36.93	6188
ENSMUSG00000022805	44.46	6299
ENSMUSG00000035673	55.43	4195
ENSMUSG00000094578	41.94	2353
ENSMUSG00000027566	50.37	5202
ENSMUSG00000025727	56.61	2536
ENSMUSG00000040666	45.78	5148
ENSMUSG00000044217	58.25	2918
ENSMUSG00000057406	41.2	51483
ENSMUSG00000037542	44.05	5593
ENSMUSG00000068732	44.52	5610
ENSMUSG00000028072	53.54	2571
ENSMUSG00000083985	53.22	804
ENSMUSG00000086987	40.82	579
ENSMUSG00000015981	48.87	4065
ENSMUSG00000083624	46.38	206
ENSMUSG00000003865	49.63	9302
ENSMUSG00000081428	41.65	520
ENSMUSG00000086371	41.91	351
ENSMUSG00000031657	42.69	9526
ENSMUSG00000060288	46.06	4748
ENSMUSG00000087077	49.8	772
ENSMUSG00000038135	53.37	983
ENSMUSG00000043144	55.03	2055
ENSMUSG00000041258	45.02	24606
ENSMUSG00000094924	35.84	1038
ENSMUSG00000048100	42.31	5143
ENSMUSG00000083868	47.81	570
ENSMUSG00000090025	48.3	500
ENSMUSG00000082111	46.94	1584
ENSMUSG00000035125	42.82	13295
ENSMUSG00000089699	39.27	248
ENSMUSG00000085694	50.84	333
ENSMUSG00000033781	44.81	4261
ENSMUSG00000098104	58.1	1469
ENSMUSG00000012422	38.19	11442
ENSMUSG00000091305	45.96	271
ENSMUSG00000056222	46.14	1310
ENSMUSG00000058661	43.53	3767
ENSMUSG00000085623	41.16	3722
ENSMUSG00000079105	39.33	2691
ENSMUSG00000027824	38.68	2733
ENSMUSG00000029438	50.74	12594
ENSMUSG00000080242	55.51	1580
ENSMUSG00000091665	39.23	1587
ENSMUSG00000057696	43.68	347
ENSMUSG00000090031	46.84	411
ENSMUSG00000089905	36.88	422
ENSMUSG00000098201	45.1	387
ENSMUSG00000015337	60.42	1060
ENSMUSG00000090429	56.97	401
ENSMUSG00000082704	39.89	360
ENSMUSG00000048538	55.2	1298
ENSMUSG00000054814	45.06	12157
ENSMUSG00000067370	58.86	1574
ENSMUSG00000086235	47.25	399
ENSMUSG00000087614	43.92	1262
ENSMUSG00000087331	53.7	2443
ENSMUSG00000018347	43.34	4557
ENSMUSG00000022526	44.96	3493
ENSMUSG00000084353	44.58	239
ENSMUSG00000081670	39.48	2898
ENSMUSG00000081177	45.98	608
ENSMUSG00000037535	50.16	308
ENSMUSG00000086195	55	339
ENSMUSG00000041849	43.26	6686
ENSMUSG00000050844	43.49	446
ENSMUSG00000047061	47.61	2530
ENSMUSG00000066693	48.72	625
ENSMUSG00000050708	54.71	4033
ENSMUSG00000081441	45.92	1101
ENSMUSG00000056716	42.28	2203
ENSMUSG00000084915	45.84	2855
ENSMUSG00000046334	43.33	359
ENSMUSG00000022673	41.76	3573
ENSMUSG00000020921	51.54	2718
ENSMUSG00000028945	43.12	6335
ENSMUSG00000038175	47.05	3055
ENSMUSG00000053093	50.82	16422
ENSMUSG00000095295	43.16	2453
ENSMUSG00000031105	39.18	8995
ENSMUSG00000015980	50.44	8011
ENSMUSG00000052291	53.06	2225
ENSMUSG00000098234	44.4	2887
ENSMUSG00000046516	44.64	7616
ENSMUSG00000003873	51.58	863
ENSMUSG00000097853	42.17	1391
ENSMUSG00000031294	43.69	4205
ENSMUSG00000081504	56.73	961
ENSMUSG00000062704	44.99	468
ENSMUSG00000033669	46.47	2764
ENSMUSG00000081542	49.77	216
ENSMUSG00000005640	52.64	12727
ENSMUSG00000084144	48.05	384
ENSMUSG00000011382	46.52	3916
ENSMUSG00000098456	50.82	1434
ENSMUSG00000095826	53.71	498
ENSMUSG00000096629	42.11	3323
ENSMUSG00000046687	53.92	1594
ENSMUSG00000001017	42.19	18414
ENSMUSG00000087199	42.28	654
ENSMUSG00000043800	56.6	2830
ENSMUSG00000020922	44.61	5716
ENSMUSG00000083422	43.61	1455
ENSMUSG00000010342	43.43	6872
ENSMUSG00000081417	58.94	491
ENSMUSG00000058881	49.2	15416
ENSMUSG00000094544	48.51	1244
ENSMUSG00000090547	42.9	471
ENSMUSG00000094517	48.51	1244
ENSMUSG00000097628	53.9	806
ENSMUSG00000096791	48.43	1244
ENSMUSG00000096912	48.51	1244
ENSMUSG00000094519	48.43	1244
ENSMUSG00000098163	48.47	686
ENSMUSG00000020159	44.84	3733
ENSMUSG00000008668	51.34	5853
ENSMUSG00000023015	45.25	18409
ENSMUSG00000096470	41.87	2058
ENSMUSG00000097711	53.46	996
ENSMUSG00000084221	46.3	634
ENSMUSG00000081201	45.49	287
ENSMUSG00000060260	52.8	4808
ENSMUSG00000084825	47.82	869
ENSMUSG00000085285	50.61	766
ENSMUSG00000082193	45.19	893
ENSMUSG00000046982	46.28	10187
ENSMUSG00000038342	45.66	15432
ENSMUSG00000024798	40.57	13623
ENSMUSG00000094370	43.02	2460
ENSMUSG00000095690	53.88	656
ENSMUSG00000055041	54.66	1953
ENSMUSG00000074182	44.02	2803
ENSMUSG00000073737	55.06	998
ENSMUSG00000024761	58.38	506
ENSMUSG00000097405	56.91	2957
ENSMUSG00000083160	40.59	1115
ENSMUSG00000089982	44.68	1344
ENSMUSG00000042138	41.84	2285
ENSMUSG00000025650	54.8	22616
ENSMUSG00000020083	49.53	10273
ENSMUSG00000049090	47.71	3319
ENSMUSG00000081596	45.38	1167
ENSMUSG00000090512	42.19	2367
ENSMUSG00000038174	37.76	17195
ENSMUSG00000078957	51.82	594
ENSMUSG00000003970	53.11	856
ENSMUSG00000036779	43.81	15098
ENSMUSG00000086174	48.23	789
ENSMUSG00000085125	38.16	9244
ENSMUSG00000024658	40	2011
ENSMUSG00000090707	43.06	2488
ENSMUSG00000096435	48.43	1244
ENSMUSG00000070977	38.53	217
ENSMUSG00000025153	57.48	11271
ENSMUSG00000073144	41.17	2423
ENSMUSG00000037326	50.77	3508
ENSMUSG00000098162	49.23	907
ENSMUSG00000089787	39.95	915
ENSMUSG00000091275	43.19	2048
ENSMUSG00000028637	45.23	14447
ENSMUSG00000060128	47.18	1189
ENSMUSG00000001946	48.41	4290
ENSMUSG00000074892	44.59	11653
ENSMUSG00000041841	46.84	863
ENSMUSG00000085454	45.34	2224
ENSMUSG00000089914	40.11	534
ENSMUSG00000090643	42.14	2365
ENSMUSG00000090142	43.89	302
ENSMUSG00000068706	50.09	570
ENSMUSG00000048410	41.86	16290
ENSMUSG00000084404	50.28	351
ENSMUSG00000039660	55.2	16117
ENSMUSG00000064032	48.34	6523
ENSMUSG00000087070	46.24	753
ENSMUSG00000091568	43.23	2941
ENSMUSG00000028195	50.51	2023
ENSMUSG00000046873	40.42	14467
ENSMUSG00000051548	54.7	743
ENSMUSG00000086346	45.07	360
ENSMUSG00000067520	46.45	1843
ENSMUSG00000082952	44.58	414
ENSMUSG00000050697	43.67	4646
ENSMUSG00000085592	42.39	572
ENSMUSG00000025477	48.79	9254
ENSMUSG00000097646	45.51	155
ENSMUSG00000084836	40.54	591
ENSMUSG00000084764	44.11	719
ENSMUSG00000001943	48.76	1163
ENSMUSG00000025936	41.3	2412
ENSMUSG00000026032	38.12	760
ENSMUSG00000056162	44.58	7322
ENSMUSG00000053310	48.82	1893
ENSMUSG00000003283	47.81	2482
ENSMUSG00000046460	50.82	4067
ENSMUSG00000052922	51.46	5570
ENSMUSG00000028194	44.29	6667
ENSMUSG00000027070	42.52	22321
ENSMUSG00000059647	37.78	1709
ENSMUSG00000043897	37.91	5200
ENSMUSG00000001948	38.2	684
ENSMUSG00000003068	55.15	13060
ENSMUSG00000093963	40.35	435
ENSMUSG00000074968	37.13	9725
ENSMUSG00000066176	44.39	1601
ENSMUSG00000022151	42.19	6199
ENSMUSG00000086194	47.57	368
ENSMUSG00000029437	48.18	807
ENSMUSG00000085375	46.2	801
ENSMUSG00000094436	42.11	227
ENSMUSG00000047528	43.33	1564
ENSMUSG00000037098	48.41	17490
ENSMUSG00000085507	47.58	347
ENSMUSG00000085643	41.74	686
ENSMUSG00000019970	43.78	17649
ENSMUSG00000000159	45.45	6770
ENSMUSG00000085418	43.43	2267
ENSMUSG00000094926	42.11	227
ENSMUSG00000001942	42.5	3423
ENSMUSG00000022672	39.91	15602
ENSMUSG00000085679	49.49	195
ENSMUSG00000023467	50.05	13729
ENSMUSG00000040028	43.05	6024
ENSMUSG00000024644	49.12	4115
ENSMUSG00000028636	48.03	3932
ENSMUSG00000082935	43.48	2377
ENSMUSG00000034793	52.04	6561
ENSMUSG00000034764	44.41	4822
ENSMUSG00000097642	46.38	801
ENSMUSG00000030067	44.4	41769
ENSMUSG00000014164	48	5266
ENSMUSG00000091572	37.29	5406
ENSMUSG00000097970	44.36	398
ENSMUSG00000056752	42.23	25547
ENSMUSG00000097920	49.75	988
ENSMUSG00000047992	47.82	3950
ENSMUSG00000097670	44.41	866
ENSMUSG00000081290	45.89	315
ENSMUSG00000041309	57.88	3198
ENSMUSG00000034116	48	10177
ENSMUSG00000080849	53.15	443
ENSMUSG00000070806	46.08	2718
ENSMUSG00000086240	39.48	270
ENSMUSG00000003541	54.52	1129
ENSMUSG00000028191	45.39	1757
ENSMUSG00000023235	44.84	5686
ENSMUSG00000063409	50.89	4038
ENSMUSG00000081557	44.93	2483
ENSMUSG00000058590	39.87	305
ENSMUSG00000086726	49.79	728
ENSMUSG00000009214	50.68	2582
ENSMUSG00000031311	43.03	7315
ENSMUSG00000070960	52.24	1385
ENSMUSG00000085058	46.35	1870
ENSMUSG00000086602	51.37	2958
ENSMUSG00000090191	46.01	2247
ENSMUSG00000078847	49.28	482
ENSMUSG00000082159	46.71	836
ENSMUSG00000086582	46.59	386
ENSMUSG00000086213	41.47	1104
ENSMUSG00000054967	48.76	1604
ENSMUSG00000067870	50.69	810
ENSMUSG00000086444	46.06	264
ENSMUSG00000091313	48.45	515
ENSMUSG00000049830	45.44	1436
ENSMUSG00000084981	38.78	1203
ENSMUSG00000070357	52.27	3076
ENSMUSG00000097406	66.36	439
ENSMUSG00000067869	41.7	903
ENSMUSG00000024646	44.87	3948
ENSMUSG00000097563	43.03	1922
ENSMUSG00000074985	41.84	919
ENSMUSG00000084240	50.66	1442
ENSMUSG00000081402	53.95	5573
ENSMUSG00000063236	50.84	1005
ENSMUSG00000067482	44.27	468
ENSMUSG00000097484	48.24	4361
ENSMUSG00000031659	51.93	23948
ENSMUSG00000096992	42.74	1747
ENSMUSG00000058078	43.29	790
ENSMUSG00000081771	36.85	1155
ENSMUSG00000036873	45.79	4237
ENSMUSG00000059014	39.59	1431
ENSMUSG00000048899	48.04	4650
ENSMUSG00000016024	47.77	7582
ENSMUSG00000098168	49.84	2224
ENSMUSG00000098074	42.71	788
ENSMUSG00000006342	56.24	3240
ENSMUSG00000046858	56.38	942
ENSMUSG00000090889	50.54	92
ENSMUSG00000030045	46.37	6140
ENSMUSG00000063586	47.62	1217
ENSMUSG00000090147	52.16	555
ENSMUSG00000057990	50.2	493
ENSMUSG00000026031	44.88	20041
ENSMUSG00000075268	60.78	560
ENSMUSG00000022204	45.21	1187
ENSMUSG00000094277	44.81	365
ENSMUSG00000078528	51.94	979
ENSMUSG00000066196	54.69	3397
ENSMUSG00000037493	50.85	1427
ENSMUSG00000000253	48.8	2762
ENSMUSG00000046388	70.02	549
ENSMUSG00000037432	49.13	7717
ENSMUSG00000036241	43.31	5198
ENSMUSG00000087480	42.66	2968
ENSMUSG00000080783	53.75	773
ENSMUSG00000094732	37.21	1067
ENSMUSG00000086522	47.22	655
ENSMUSG00000020673	44.54	4791
ENSMUSG00000049699	50.2	1001
ENSMUSG00000082936	52.86	786
ENSMUSG00000078958	43.07	4051
ENSMUSG00000047168	51.32	683
ENSMUSG00000034391	42.88	1427
ENSMUSG00000087385	45.48	3797
ENSMUSG00000098138	52.98	990
ENSMUSG00000045104	54.25	305
ENSMUSG00000094634	42.78	2460
ENSMUSG00000092593	67.38	284
ENSMUSG00000092384	55.72	780
ENSMUSG00000024645	41.5	1309
ENSMUSG00000098057	52.2	999
ENSMUSG00000086160	41.78	1010
ENSMUSG00000083083	39.66	536
ENSMUSG00000091882	42.13	3359
ENSMUSG00000055951	44.77	1589
ENSMUSG00000097989	54.78	1003
ENSMUSG00000043329	58.46	475
ENSMUSG00000040721	52.22	12324
ENSMUSG00000085020	45.38	757
ENSMUSG00000078925	45.64	6525
ENSMUSG00000049571	50.31	15096
ENSMUSG00000007836	55.38	2677
ENSMUSG00000032279	44.81	2392
ENSMUSG00000036863	44.83	5488
ENSMUSG00000097536	43.45	5438
ENSMUSG00000087589	53.33	907
ENSMUSG00000031155	50.34	3515
ENSMUSG00000035104	46.8	3852
ENSMUSG00000050321	36.9	3520
ENSMUSG00000086499	54.42	614
ENSMUSG00000086601	53.83	481
ENSMUSG00000050002	48.94	2766
ENSMUSG00000089906	45.51	344
ENSMUSG00000087397	61.06	917
ENSMUSG00000097150	46.36	2488
ENSMUSG00000097291	52.08	1165
ENSMUSG00000091050	54.6	2145
ENSMUSG00000036775	47.13	4101
ENSMUSG00000009563	54.62	8549
ENSMUSG00000080054	50.6	497
ENSMUSG00000018893	49.93	3117
ENSMUSG00000092049	37.35	5215
ENSMUSG00000000157	49.83	8578
ENSMUSG00000089968	54.71	1704
ENSMUSG00000030824	51.67	9317
ENSMUSG00000086064	48.18	1139
ENSMUSG00000096448	48.46	356
ENSMUSG00000079396	42.01	2426
ENSMUSG00000082613	50.19	778
ENSMUSG00000089671	54.57	699
ENSMUSG00000095464	44.15	453
ENSMUSG00000085967	45.7	1754
ENSMUSG00000090406	46.43	926
ENSMUSG00000024647	46.93	9116
ENSMUSG00000087233	45.7	1789
ENSMUSG00000043020	45.76	4512
ENSMUSG00000085654	49.13	356
ENSMUSG00000039942	42.52	10338
ENSMUSG00000030043	43.43	5019
ENSMUSG00000028944	49.1	13836
ENSMUSG00000089767	53.86	558
ENSMUSG00000022803	49.54	5917
ENSMUSG00000005312	43.1	3675
ENSMUSG00000087374	43.81	3984
ENSMUSG00000032998	39.86	19619
ENSMUSG00000049517	45.81	752
ENSMUSG00000033576	50.47	8537
ENSMUSG00000069324	49.46	1857
ENSMUSG00000028470	54.15	4264
ENSMUSG00000079371	41.92	2602
ENSMUSG00000026029	42.29	4979
ENSMUSG00000085391	46.55	1102
ENSMUSG00000025648	51.09	11770
ENSMUSG00000045691	51.9	2777
ENSMUSG00000028433	43.06	11831
ENSMUSG00000068999	37.89	5209
ENSMUSG00000021619	40.78	1601
ENSMUSG00000085280	46.84	636
ENSMUSG00000063130	51.12	1425
ENSMUSG00000087131	45.69	2053
ENSMUSG00000030042	44.04	4199
ENSMUSG00000087044	51.15	1337
ENSMUSG00000033765	50.27	914
ENSMUSG00000044080	50.82	1248
ENSMUSG00000024800	42.01	1144
ENSMUSG00000059714	51.43	8956
ENSMUSG00000056153	38.91	15325
ENSMUSG00000098182	48.22	1009
ENSMUSG00000031660	42.24	8075
ENSMUSG00000092553	47	282
ENSMUSG00000025475	49.63	6574
ENSMUSG00000092563	47.03	554
ENSMUSG00000085894	40.72	1829
ENSMUSG00000092014	52.04	293
ENSMUSG00000090500	45.26	589
ENSMUSG00000085731	56.14	1230
ENSMUSG00000094136	46.09	485
ENSMUSG00000037438	52.22	269
ENSMUSG00000098739	40.78	1523
ENSMUSG00000087163	43.72	517
ENSMUSG00000096111	48.97	1793
ENSMUSG00000090581	37.39	5215
ENSMUSG00000073052	45.21	2291
ENSMUSG00000053746	55.46	1851
ENSMUSG00000054031	43.22	1889
ENSMUSG00000093511	49.44	787
ENSMUSG00000051209	41.34	2267
ENSMUSG00000094460	41.99	2675
ENSMUSG00000098620	44.04	896
ENSMUSG00000095042	55.09	1001
ENSMUSG00000060424	43.57	7067
ENSMUSG00000021215	43.45	6750
ENSMUSG00000044387	59.78	412
ENSMUSG00000081540	53.91	485
ENSMUSG00000085993	46.44	288
ENSMUSG00000090036	47.08	341
ENSMUSG00000090761	56.15	388
ENSMUSG00000028071	53.55	4879
ENSMUSG00000045055	53.73	509
ENSMUSG00000094811	42.13	3349
ENSMUSG00000097691	39.79	642
ENSMUSG00000031107	43.07	2171
ENSMUSG00000053519	46.15	12449
ENSMUSG00000040877	48.88	6871
